         9712416 function calls (9098865 primitive calls) in 55.903 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\ops\operation.py:56(symbolic_call)
      200    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\parsers\readers.py:1622(close)
     1523    0.003    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\utils\_param_validation.py:104(make_constraint)
     1620    0.003    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:4529(control_dependencies)
     2039    0.004    0.000    0.007    0.000 <frozen os>:709(__getitem__)
      344    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\util\nest.py:1264(flatten_with_tuple_paths)
        2    0.000    0.000    0.007    0.004 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:1001(_get_propagate_signature)
       30    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\preprocessing\_label.py:114(transform)
        2    0.000    0.000    0.007    0.004 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\inspector.py:336(get_params_from_method_call)
      110    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\transforms.py:1418(__sub__)
    15606    0.007    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:4650(get_default)
     7594    0.004    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\construction.py:416(extract_array)
     1710    0.007    0.000    0.007    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
       30    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\axis.py:1534(get_majorticklocs)
      165    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\ops\range_op.py:65(_build_tensor)
      370    0.004    0.000    0.007    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_RecordGradient}
      510    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\_utils.py:193(_rebuild_tensor_v2)
     1470    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\utils\_array_api.py:239(<genexpr>)
     1773    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\utils\_array_api.py:225(<genexpr>)
     8813    0.004    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\tensor_shape.py:941(__getitem__)
      703    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\series.py:664(_constructor_from_mgr)
     2022    0.002    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:5801(__exit__)
        4    0.000    0.000    0.007    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\optimizers\adam.py:43(__init__)
       30    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\utils\multiclass.py:41(unique_labels)
      523    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\trackable\base.py:200(_method_wrapper)
     6420    0.007    0.000    0.007    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ExecutorWaitForAllPendingNodes}
       55    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\ops\concatenate_op.py:34(common_supertype)
       77    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\construction.py:742(_get_axes)
       74    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\patches.py:48(__init__)
      200    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\functional.py:5015(pad)
     4607    0.002    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\util\nest_util.py:159(is_namedtuple)
      842    0.002    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\array_algos\take.py:564(_take_preprocess_indexer_and_fill_value)
      100    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\math_ops.py:3110(reduce_all)
        4    0.000    0.000    0.007    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\backend\tensorflow\optimizer.py:20(__init__)
      277    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\managers.py:557(copy)
     2441    0.002    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\op_callbacks.py:114(should_invoke_op_callbacks)
  440/412    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\jinja2\parser.py:643(parse_primary)
       18    0.000    0.000    0.007    0.000 {built-in method _warnings.warn}
        4    0.000    0.000    0.007    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\optimizers\base_optimizer.py:68(__init__)
    23130    0.004    0.000    0.007    0.000 {built-in method builtins.setattr}
       64    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\patches.py:748(__init__)
      167    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\function_cache.py:67(add)
        2    0.000    0.000    0.007    0.003 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\inspector.py:323(get_source)
        2    0.000    0.000    0.007    0.003 C:\Users\ompar\anaconda3\Lib\inspect.py:1279(getsource)
    10450    0.007    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\util\options.py:33(__init__)
      167    0.001    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\polymorphic_function\tracing_compilation.py:356(_set_arg_keywords)
        2    0.000    0.000    0.007    0.003 C:\Users\ompar\anaconda3\Lib\inspect.py:1258(getsourcelines)
      204    0.003    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\blocks.py:622(convert)
     1605    0.002    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:438(pack_output)
       84    0.000    0.000    0.007    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\artist.py:784(set_clip_path)
     1600    0.004    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\indexing.py:1652(_is_scalar_access)
    23576    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
    12210    0.004    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\dtypes\inference.py:334(is_hashable)
   352/52    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\math_ops.py:940(cast)
     1283    0.005    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\op_def_library.py:393(_ExtractDefaultTypesAndAllowedTypes)
       54    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\jinja2\compiler.py:142(find_undeclared)
      564    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:4518(colocate_with)
       24    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\axis.py:1538(get_minorticklocs)
     4180    0.003    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\tpu\tpu.py:203(replace_with_unreplicated_resources)
      200    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\pooling.py:212(forward)
      344    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
       82    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\utils\validation.py:1673(check_is_fitted)
    14481    0.005    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\indexes\base.py:909(__len__)
    12683    0.006    0.000    0.006    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
     1367    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\numpy\_core\_methods.py:67(_all)
      110    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\trainers\data_adapters\array_slicing.py:369(convert_single_array)
     1579    0.001    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\re\__init__.py:226(compile)
     5381    0.006    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\util\object_identity.py:182(__init__)
       13    0.000    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\warnings.py:99(_showwarnmsg)
     3346    0.006    0.000    0.006    0.000 {built-in method optree._C.is_namedtuple}
       13    0.000    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\warnings.py:20(_showwarnmsg_impl)
        4    0.000    0.000    0.006    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\legend.py:937(_auto_legend_data)
        8    0.000    0.000    0.006    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\layers\core\dense.py:72(__init__)
     1375    0.006    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\tensor_shape.py:1444(as_proto)
     1981    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\auto_control_deps_utils.py:108(<genexpr>)
       55    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\trainers\data_adapters\__init__.py:18(get_data_adapter)
      715    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\util\structure.py:309(get_flat_tensor_types)
      200    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\activation.py:391(forward)
      858    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\backend\tensorflow\core.py:164(is_tensor)
2449/2289    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\trackable\data_structures.py:86(wrap_or_unwrap)
     9525    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\backend\common\global_state.py:15(get_global_attribute)
     3210    0.006    0.000    0.006    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextSetExecutorForThread}
     1510    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\transforms.py:2452(__init__)
     1830    0.003    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\backend\common\variables.py:518(standardize_dtype)
     2236    0.004    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\indexes\range.py:201(_simple_new)
      402    0.004    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\preprocessing\_data.py:85(_handle_zeros_in_scale)
      400    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\indexes\base.py:1146(take)
      165    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:592(add_type_constraints)
      990    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\autograph\impl\conversion.py:95(<genexpr>)
       54    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\jinja2\idtracking.py:49(analyze_node)
      784    0.001    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\copy.py:247(_reconstruct)
     2441    0.003    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:1252(_control_flow_post_processing)
      564    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:4473(_colocate_with_for_gradient)
     5289    0.004    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\blocks.py:2674(get_block_type)
    60229    0.006    0.000    0.006    0.000 {built-in method builtins.callable}
       50    0.000    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\pathlib.py:870(is_dir)
       55    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\trainers\data_adapters\array_data_adapter.py:15(__init__)
      510    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\_utils.py:172(_rebuild_tensor)
      424    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\managers.py:287(get_dtypes)
      201    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:195(__init__)
     1600    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\indexing.py:974(_is_nested_tuple_indexer)
     1306    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\tree\tree_api.py:91(flatten)
  426/326    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\jinja2\parser.py:781(parse_postfix)
     2441    0.003    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\util\lock_util.py:105(_another_group_active)
    69318    0.006    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\tensor.py:874(dtype)
      200    0.006    0.000    0.006    0.000 {built-in method torch.tanh}
    24/17    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\gen_math_ops.py:487(add_v2)
    119/3    0.001    0.000    0.006    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\util\deprecation.py:554(new_func)
        3    0.000    0.000    0.006    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\ops\function.py:45(__init__)
        2    0.000    0.000    0.006    0.003 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\axis.py:2449(_update_label_position)
      352    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\backend\tensorflow\core.py:651(__enter__)
        6    0.000    0.000    0.006    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\spines.py:142(get_window_extent)
     3552    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\record.py:54(stop_recording)
       50    0.000    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\pathlib.py:835(stat)
    33/19    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\math_ops.py:477(multiply)
      396    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:1517(_set_attr)
      747    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\tensor_util.py:381(_AssertCompatible)
     1086    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\transforms.py:1995(rotate_deg)
        1    0.000    0.000    0.006    0.006 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backends\backend_gtk4agg.py:1(<module>)
     1283    0.004    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:2267(graph_def_versions)
      209    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\blocks.py:1287(take_nd)
    70483    0.006    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\inspect.py:2804(kind)
     7650    0.006    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\context.py:1192(device_name)
     2441    0.002    0.000    0.006    0.000 C:\Users\ompar\anaconda3\Lib\threading.py:424(notify_all)
        4    0.000    0.000    0.006    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\seaborn\_base.py:1028(_attach)
       22    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\initializers\constant_initializers.py:64(__call__)
      825    0.001    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\autograph\impl\conversion.py:33(_is_of_known_loaded_module)
       82    0.005    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\lines.py:744(draw)
  988/986    0.005    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\transforms.py:365(bounds)
      200    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\_jit_internal.py:614(fn)
    10067    0.004    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:4233(_device_function_stack)
       16    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\groupby\ops.py:607(get_iterator)
    110/2    0.000    0.000    0.006    0.003 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\array_ops.py:4780(gather)
       91    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\font_manager.py:1363(_find_fonts_by_props)
    48/19    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\gen_math_ops.py:7553(mul)
     1167    0.003    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\base.py:82(shape)
     1836    0.002    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\common.py:301(maybe_iterable_to_list)
       90    0.000    0.000    0.006    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\utils\multiclass.py:79(<genexpr>)
